name,hostid,lat,lon,location
229_ESHERA 2_BTS_HW,10923,43.076211111,40.897283333,
230_GUDAUTA GS_BTS_HW,11141,43.108474,40.639068,Трубостойки на крыше Горгаз
232_NOVIY AFON VODOPAD_BTS_HW,10924,43.091377782,40.815049979,
234_PRIMORSK 3_BTS_HW,10925,43.091185,40.794754,
235_ANKHUA_BTS_HW,10926,43.102841,40.798294,
236_PRIMORSK M_BTS_HW,10927,43.090126,40.750797,
237_PRIMORSK TRASSA_BTS_HW,10928,43.085956,40.724322,
238_AATSY_BTS_HW,10929,43.143567,40.763889,
239_ABGARHUK 3_BTS_HW,10930,43.114769,40.688836,
240_ABGARHUK 2_BTS_HW,10931,43.15125,40.720917,
242_KULANYRHUA SKALA_BTS_HW,10932,43.151108,40.668867,
243_GUDAUTA GOSPITAL_BTS_HW,10933,43.11668611,40.63559167,
244_GUDAUTA SANATORIY_BTS_HW,11165,43.092741,40.599629,"43.092741,40.599629"
245_LYKHNY 2_BTS_HW,10934,43.169475,40.619551,
246_GUDAUTA T_BTS_HW,10935,43.114878,40.581453,
247_GUDAUTA STADION_BTS_HW,11229,43.102181,40.624770,
248_KHIPSTA_BTS_HW,10936,43.123268,40.555321,
250_KHUAP AM_BTS_HW,11370,43.218058,40.613539,"43.218058, 40.613539"
251_OTHARA AM_BTS_HW,10937,43.207449,40.53215,
254_ZVANDRIPSH AM_BTS_HW,11212,43.150344,40.588378,
256_MGUDZYRHVA 2_BTS_HW,11325,43.138219,40.539950,"43.138219, 40.539950"
301_ALAHADZY ADMINISTRACIYA_BTS_HW,10938,43.218902778,40.294908333,
302_ALAHADZY CITR SOVHOZ_BTS_HW,10939,43.20345,40.287047222,
303_ALAHADZY SOSNOVAY ROSHA_BTS_HW,10940,43.195441667,40.281780556,
304_BZYP ATP_BTS_HW,10941,43.227941667,40.324975,
305_ALAHADZY AZS_BTS_HW,10942,43.219875,40.313202778,
306_PITSUNDA SAMSHIT ROSHA_BTS_HW,10943,43.181577778,40.297463889,
307_PITSUNDA RTPC_BTS_HW,10944,43.176569444,40.30895,
308_IPNAR_BTS_HW,10945,43.227725,40.354619444,
309_BZYP CENTR_BTS_HW,10946,43.226883333,40.370866667,
310_BZYB_BTS_HW,10947,43.240686111,40.401152778,
311_KALDAHVARA_BTS_HW,10948,43.231355556,40.415722222,
312_ASICHKO_BTS_HW,10949,43.208708333,40.342025,
313_PITSUNDA ADMINISTRACIYA_BTS_HW,10950,43.159930556,40.337047222,
314_PITSUNDA NOV RAION_BTS_HW,10951,43.165125,40.341408333,
315_PITSUNDA UVD_BTS_HW,10952,43.158758333,40.340952778,
316_PITSUNDA KURORT 2_BTS_HW,10953,43.147972222,40.342644444,
317_PITSUNDA KURORT 1_BTS_HW,10954,43.156311111,40.348225,
318_LDZAA 3_BTS_HW,10955,43.172133333,40.357652778,
319_LDZAA 1_BTS_HW,10956,43.179536111,40.368683333,
320_LDZAA 2_BTS_HW,10957,43.179097222,40.379661111,
321_AMZHIKHUA_BTS_HW,10958,43.183516667,40.397205556,
322_MYSRA RTPC_BTS_HW,10959,43.150511111,40.462847222,
323_MYSRA PANS_BTS_HW,10960,43.149202778,40.460655556,
324_BZYB 3_BTS_HW,10961,43.267922222,40.393472222,
325_GOLUBOE OZERO_BTS_HW,10962,43.353186111,40.417747222,
327_RITSA_BTS_HW,10964,43.470127778,40.534697222,
328_RITSA GES_BTS_HW,10965,43.479994444,40.549352778,
329_AUADHARA_BTS_HW,10966,43.498616667,40.661080556,
330_AMZHIKHUA USHELIE_BTS_HW,10967,43.185208333,40.390872222,
331_PITSUNDA LITFOND_BTS_HW,11249,43.172897,40.311827,"43.172897, 40.311827"
332_PITSUNDA AMSHIN_BTS_HW,11084,43.153775,40.333222,
333_PITSUNDA POLE_BTS_HW,11169,43.163927,40.328926,"43.163927, 40.328926"
340_ALAHADZY 2_BTS_HW,11083,43.223888,40.275277,
341_ALAHADZY 3_BTS_HW,11191,43.209594,40.281022,
343_BZYB ZD_BTS_HW,11323,43.225444,40.349167,"43.225444, 40.349167"
344_BZYB IPPODROM_BTS_HW,11324,43.233492,40.385828,"43.233492, 40.385828"
345_KPP GOLUBOE OZERO_BTS_HW,10968,43.341594,40.41395,
346_RITSA PARKING_BTS_HW,11240,43.476098,40.540134,
348_PSHU_BTS_HW,11225,43.388787,40.813628,
370_BZYP LEP_BTS_HW,10969,43.293094444,40.401488889,
371_BZYP R_BTS_HW,10970,43.308247,40.411083,
401_GECHRIPSH_BTS_HW,10971,43.423652778,40.019402778,
402_PSOU_BTS_HW,10972,43.389127778,40.008411111,
403_CANDRIPSH 6_BTS_HW,10973,43.387380556,40.019547222,
404_CANDRIPSH 2_BTS_HW,10974,43.388897222,40.056538889,
405_CANDRIPSH 4_BTS_HW,10975,43.3828,40.05345,
406_MAHADYR_BTS_HW,10976,43.412652778,40.106019444,
407_CANDRIPSH 3_BTS_HW,10977,43.378680556,40.081133333,
408_CANDRIPSH 1_BTS_HW,10978,43.380355556,40.091911111,
409_BAGRIPSH_BTS_HW,10979,43.360513889,40.120997222,
410_ARBAIKA_BTS_HW,10980,43.346591667,40.150077778,
411_GAGRA SANATOR MOSKVA_BTS_HW,10981,43.3287,40.214725,
412_GAGRA ZHOEKVARA_BTS_HW,10982,43.326075,40.223980556,
413_GAGRA KOLONNADA_BTS_HW,10983,43.319397222,40.241755556,
414_GAGRA SANATOR ARMENIA_BTS_HW,10984,43.315647222,40.248161111,
415_GAGRA NART_BTS_HW,10985,43.311138889,40.250852778,
416_GAGRA VOKZAL GAGRIPSH_BTS_HW,10986,43.301577488,40.256642555,
417_GAGRA UVD_BTS_HW,10987,43.293686111,40.259338889,
418_GAGRA RTPC_BTS_HW,10988,43.293019444,40.264891667,
419_GAGRA ALEKS BICH_BTS_HW,10989,43.288502778,40.261152778,
420_GAGRA GOSTINICA ABHAZIA_BTS_HW,10990,43.276630556,40.265802778,
421_GAGRA KBRC_BTS_HW,10991,43.277783333,40.272983333,
422_GAGRA ENERGETIK_BTS_HW,10992,43.272008333,40.266452778,
423_GAGRA IGV_BTS_HW,10993,43.271361111,40.281319444,
424_GAGRA KEMPING_BTS_HW,10994,43.260733333,40.278438889,
425_GAGRA 6_BTS_HW,10995,43.261944444,40.299408333,
426_PSAHARA_BTS_HW,10996,43.245258333,40.304680556,
430_GAGRA JD_BTS_HW,10997,43.260621,40.285555,
433_GAGRA RRS_BTS_HW,10998,43.278475,40.275047222,
434_GAGRA OBJEZD_BTS_HW,11091,43.289109,40.269867,Столб граненый 20м.
443_GAGRA SKALA_BTS_HW,10999,43.324825,40.233369,
444_GAGRA TRASSA 1_BTS_HW,11000,43.334297,40.194753,
445_GAGRA TRASSA 2_BTS_HW,11001,43.337083,40.175622,
